f,doe2vec_0,doe2vec_1,doe2vec_2,doe2vec_3,doe2vec_4,doe2vec_5,doe2vec_6,doe2vec_7,doe2vec_8,doe2vec_9,doe2vec_10,doe2vec_11,doe2vec_12,doe2vec_13,doe2vec_14,doe2vec_15,doe2vec_16,doe2vec_17,doe2vec_18,doe2vec_19,doe2vec_20,doe2vec_21,doe2vec_22,doe2vec_23,doe2vec_24,doe2vec_25,doe2vec_26,doe2vec_27,doe2vec_28,doe2vec_29,doe2vec_30,doe2vec_31
p10_p11_i4_i4_a0.5,-0.11966169,0.27917224,-0.627836,-0.15579899,-0.63500583,-0.033231705,-0.55167454,0.01447412,-0.7886275,-0.2970484,-0.032915004,-0.05174335,-0.013701211,0.06439218,-0.6285176,-0.042308852,0.3564973,-0.023753433,0.049433798,0.25670224,-0.8862329,1.2291822,0.056316674,-0.39973965,0.020543154,-1.4444203,1.4373816,1.1551706,0.07396975,0.37776864,0.7402904,0.0024104314
p10_p11_i4_i4_a0.75,-0.045156844,0.51673055,-0.43827426,-0.5725504,-0.5551697,-0.026081169,-0.42058724,-0.00014040153,-0.22413161,-0.26240894,-0.056096017,-0.049543645,0.006809691,0.06819983,-0.046128154,-0.06269023,0.3221751,-0.03259148,0.033615015,0.30072498,-0.5603414,0.43153858,0.05703304,-0.84220773,-0.034533445,-1.4681845,1.2302923,1.2306807,0.1244497,0.7800195,1.3719718,-0.020570409
p10_p11_i5_i5_a0.25,0.54614085,-0.4111184,-1.3488426,-0.24935235,1.0545413,-0.10885587,0.24922846,-0.027509058,-0.59233725,0.3825018,-0.015599507,0.022030704,-0.025179937,0.12336184,-1.6784294,-0.01535008,0.44497257,-0.078936055,0.03526678,0.046170294,-0.7327105,0.5820369,0.09346921,-0.28504014,-0.026118405,-1.5620829,-0.31462166,0.8882922,0.07606476,0.03690713,0.0012179166,0.070577405
p10_p11_i5_i5_a0.5,0.49174637,-0.38985896,-1.1955314,-0.072078526,0.8712409,-0.10382342,0.24665777,-0.032846723,-0.5955462,0.28701168,-0.014864967,0.026580319,-0.026236292,0.11824107,-1.6573267,-0.034952305,0.4674435,-0.07992602,0.03441053,0.053920567,-0.77090406,0.680258,0.095709115,-0.12074703,-0.034463916,-1.5674348,-0.14677268,0.6891302,0.08620482,-0.05292535,0.061048403,0.07670007
p10_p11_i5_i5_a0.75,0.36288363,-0.3278545,-0.88001204,0.04158804,0.67328924,-0.08271141,0.21418218,-0.026616363,-0.47098106,0.017909788,-0.01615341,0.02740816,-0.027451348,0.10867123,-1.541234,-0.04792543,0.55422753,-0.07748656,0.034498475,0.07369405,-0.8478815,0.71632785,0.07763419,-0.08707379,-0.02312997,-1.5644245,0.018203463,0.48705256,0.08258808,-0.118462965,0.13026439,0.07866752
p10_p12_i1_i1_a0.25,0.049172103,-0.13635091,-1.0268589,-0.7154732,-0.29578942,-0.0109448135,-0.6028558,0.0035059834,-0.24969631,1.3687961,-0.013088855,-0.0140865585,-0.011151192,0.16866468,-0.4404732,-0.06512776,-0.35933134,-0.057139803,0.032060765,0.48925608,-0.71574324,-0.121393114,-0.0126516465,1.5487106,-0.011367569,-2.5048678,1.1351241,1.139617,0.1362742,1.4021289,1.448314,0.12099891
p10_p12_i1_i1_a0.5,0.7697236,-0.16650723,-0.76778734,-0.10873303,-0.52674866,-0.003687663,-0.45570818,-0.007912903,-0.18955848,0.9728262,-0.012768645,-0.030230027,0.016758267,0.12731035,-0.7377875,-0.05950332,-0.23065123,-0.06147843,0.0057834787,0.24056524,-0.2329863,-0.3604769,0.012218419,0.3306286,-0.057282723,-1.9760758,1.446908,1.3779913,0.09482724,1.0206372,0.95234257,0.07447199
p10_p12_i1_i1_a0.75,1.5041931,0.38007507,-0.3339178,-0.07015489,-0.5056093,-0.009062,-0.85550857,-0.04726615,-0.2567489,-0.007035099,-0.010503437,-0.04268171,0.015144471,0.03630509,-1.1567776,-0.063240215,0.06341636,-0.10751412,0.0068558957,0.19584715,0.21704589,0.61153364,0.040719368,-1.1596829,-0.06110116,-1.5847586,1.5308086,0.7678488,0.13755971,-1.2351671,0.6720511,-0.0057016676
p10_p12_i2_i2_a0.25,0.17181747,-1.2440325,-0.5480138,-0.13656709,-0.24643846,-0.06521923,-0.16343579,0.0007562288,-0.37173915,-0.45475602,-0.04319068,0.040656984,-0.044733867,0.061036903,-0.3418268,-0.066930324,-0.49124166,-0.05339137,0.001378838,0.22985137,-0.16943845,1.3773663,0.05965642,-0.077353165,-0.0022906032,-1.8499777,0.43802348,0.70249605,0.13632604,-0.6933961,0.17947923,-0.05537672
p10_p12_i2_i2_a0.5,0.28391755,-0.6930647,-0.30434167,-0.43536407,-0.24538887,-0.06496168,0.08223319,0.07074508,-0.4716546,0.012266088,0.04862333,0.026362684,-0.049795717,0.10351838,0.10670656,-0.05052683,-0.41014603,-0.054934055,0.025343332,0.22126669,-0.44463313,0.8252781,-0.020213371,-0.64108235,0.041560143,-1.471718,-0.9662952,0.561616,0.043589942,1.3634074,0.42455888,0.038812686
p10_p12_i2_i2_a0.75,0.4993174,-0.14975436,0.36985418,-0.4201041,-0.24678545,-0.001973329,0.14243318,0.07566413,-0.2523322,1.0456073,0.097323835,-0.030353524,-0.003959625,0.12516245,0.3812132,-0.055570062,-0.4445761,-0.09521123,0.057540424,0.16375202,-1.0813427,0.09120089,-0.028965807,-0.97630817,0.023643348,-1.3686975,-1.9479285,0.3967713,-0.0108042825,2.721949,0.64253294,0.07767604
p10_p12_i3_i3_a0.25,-0.8297251,0.52917063,0.16252583,0.69868135,0.4519893,-0.022003556,-1.665824,-0.21636033,-0.39355153,0.8404861,-0.18936238,-0.010552827,-0.018757243,0.0782626,-0.40606043,-0.14669073,-1.9437569,-0.16745675,0.05119542,0.23563838,-0.2714289,-0.6519383,-0.080895275,0.2811535,-0.070198074,-2.3521647,1.8052497,0.96484125,0.2812656,0.692321,-0.89988756,-0.016243584
p10_p12_i3_i3_a0.5,0.025117323,0.037243664,0.11069986,0.53281283,-0.039026365,0.056351863,-1.2330408,-0.18680337,-0.07911712,0.21623473,-0.114125386,-0.06993574,-0.028383717,0.0421537,-0.45390064,-0.107275814,-0.9777882,-0.14427498,0.014913997,0.21917933,0.012727797,-0.23231912,0.050799467,0.86747146,-0.0816627,-2.080581,1.9090067,0.88077396,0.13808046,0.6094012,-0.78917634,-0.045931995
p10_p12_i3_i3_a0.75,1.4883171,-0.39070362,0.19962347,1.2923205,-0.5628566,-0.0004820414,-1.1731781,-0.15456362,-0.2925895,-0.15563074,-0.019237699,-0.028348144,-0.03602176,0.03217243,-0.35703087,-0.06719057,-0.72991586,-0.11039965,-0.019318296,0.25845325,0.06895833,0.74373144,0.004629424,0.8910999,-0.10231341,-1.4686872,1.6905018,0.66854024,0.093989395,-0.6526741,-0.5327177,0.060721733
p10_p12_i4_i4_a0.25,1.551344,0.72585547,-1.078765,0.5438781,-0.35294056,-0.005155131,-0.27010083,-0.10487807,-0.27275223,0.41058335,-0.16637248,-0.07027151,0.012560467,0.09932518,0.6751067,-0.030242022,-1.0081407,-0.13214335,0.08530006,0.72988564,-0.13670108,-0.9605345,0.042300828,0.4931156,-0.1536911,-2.826479,0.88557667,1.914154,0.18129022,-1.670998,0.6327632,0.12928519
p10_p12_i4_i4_a0.5,1.0817201,0.50920343,-0.7889452,0.5636697,-0.21962188,0.029346306,-0.23061828,-0.10968977,0.2421771,-0.106777295,-0.16217363,-0.054373223,0.019687157,0.08098242,0.5859358,-0.06396291,-0.8020526,-0.11430075,0.049878538,0.38737977,-0.0881179,-0.8884943,0.05735796,0.35586882,-0.13901071,-2.376524,0.8453234,1.4674695,0.21815495,-1.4208719,0.88292783,0.057778787
p10_p12_i4_i4_a0.75,0.7656965,0.17539471,-0.54111433,0.09764281,-0.06113615,0.047334954,-0.18614446,-0.08265731,0.46587202,0.015719166,-0.11746994,-0.03771086,0.0014456646,0.07357176,0.49223036,-0.067628026,-0.66593444,-0.09667974,0.03550779,0.21108484,0.17623886,-0.7322042,0.09175057,0.02965574,-0.11914843,-2.1104808,0.71753603,1.5752321,0.2051365,-1.0345213,1.2544769,-0.0082427515
p10_p12_i5_i5_a0.25,-0.86864793,-0.39623392,-1.6814537,1.2349772,-0.15811597,0.1331046,-0.3800612,-0.26777703,-0.42535868,-1.3005848,-0.09292449,-0.054842178,0.015461557,0.0908764,-0.687268,-0.044925045,-0.09181163,-0.2061896,0.069898106,0.5124448,0.3307463,-1.0713575,0.20375079,-0.28908545,-0.035648867,-2.025311,0.40541768,0.7768425,0.010529677,-3.869496,0.72135854,-0.091620326
p10_p12_i5_i5_a0.5,-0.7702732,-0.6646873,-0.7793422,0.9436127,0.036817268,0.02533323,0.32379708,-0.14881377,-0.061711162,-0.8711837,-0.05546725,0.030286789,0.009460856,0.03453327,-0.7056386,-0.04921588,0.13002303,-0.10032993,0.035090543,0.3322739,-0.17628849,-0.5879176,0.16556956,-0.44854018,-0.069156356,-1.6178751,0.18539318,0.3082133,0.035319515,-3.0538847,0.3722937,-0.04422566
p10_p12_i5_i5_a0.75,-0.45628726,-0.48786485,-0.44886497,0.5206481,0.22104123,-0.03363104,0.4093904,-0.07487154,-0.09113842,-0.5226775,-0.010575902,0.02784669,-0.03065595,0.06438263,-1.0832154,-0.01543327,0.5217684,-0.0818095,0.03719388,0.24563962,-0.5773543,0.18391371,0.10565736,-0.43615094,-0.015117342,-1.5667818,0.26364088,0.15980941,0.0579708,-1.780649,0.28619194,-0.00082713645
p10_p13_i1_i1_a0.25,1.2539171,0.3765044,0.200876,0.40857986,0.1420941,0.012942276,-0.5901978,-0.10484372,-0.17353863,-1.2995209,-0.22179693,0.0750573,0.0756157,0.01568641,-0.26020598,-0.031930435,0.5130844,-0.013908894,-0.06701417,0.8360153,0.008472055,0.6154194,-0.06250249,-0.32102394,0.021091707,0.10268271,0.9325962,-0.03008902,0.10305541,-3.4829993,0.5666395,-0.020645522
p10_p13_i1_i1_a0.5,1.452065,0.47153768,-0.3480636,0.71826315,-0.29079354,0.0007889513,-0.47353673,-0.10939117,-0.2504853,-1.0175133,-0.14450936,0.04290001,0.07275736,0.051654298,-0.7988311,0.00013505528,0.15526739,-0.026376849,-0.042760268,0.4198274,0.062293917,1.0754645,-0.043848813,-0.45017368,0.04187014,-0.5788388,1.0964518,0.19552392,0.076143764,-2.9335685,0.48687154,0.009470388
p10_p13_i1_i1_a0.75,1.5301567,0.6695512,-0.5965819,0.5601268,-0.39725512,-0.017162068,-0.5941233,-0.08310348,-0.39995804,-0.7599777,-0.09661696,0.025489312,0.057323046,0.0647262,-1.0585803,0.0071382206,-0.038024753,-0.042127058,-0.019584147,0.25310326,0.38900852,1.2664638,-0.028328383,-0.67861277,0.05000945,-1.0625906,1.1625156,0.3976597,0.096977144,-2.740336,0.49263424,0.029057905
p10_p13_i2_i2_a0.25,1.1967037,-0.05047266,1.2955565,-0.31683818,-0.30578724,0.050876036,0.6812572,0.03380972,0.26669416,0.97019386,0.12203348,0.027303241,-0.060872745,0.13566856,0.38052434,-0.1106268,-0.67074764,-0.08038628,0.06809411,0.5652719,-0.67359984,-1.5079293,-0.12391155,-0.30757952,-0.016369624,-0.3586399,-1.738529,0.4844522,-0.021918897,4.1680255,0.5073324,0.089945525
p10_p13_i2_i2_a0.5,0.8226473,-0.12200467,1.1047959,-0.26869896,0.015446052,0.027479416,0.6770733,0.055775043,0.13973084,1.4024718,0.1468506,0.019708972,-0.048403718,0.13251361,0.28846943,-0.07492053,-0.5778954,-0.08856935,0.0750897,0.30892056,-1.089906,-0.94102806,-0.08737083,-0.69619507,-0.0052758045,-0.82029593,-2.0654104,0.4423124,-0.014207582,3.860867,0.5977395,0.08509387
p10_p13_i2_i2_a0.75,0.6756168,-0.019291148,0.9375988,-0.37820825,0.031168029,0.023498807,0.3415051,0.06652659,-0.013031393,1.5444928,0.13452607,-0.016714342,-0.0032817721,0.12102315,0.27233636,-0.050409507,-0.19321832,-0.09486436,0.082755014,0.1365611,-1.2613344,-0.4683259,-0.059076793,-0.96651417,0.008798881,-1.1649892,-2.233071,0.43360713,-0.020538758,3.4297864,0.6619743,0.09011226
p10_p13_i3_i3_a0.25,1.8038646,-0.47962987,1.0245844,1.4971569,-1.0633334,-0.014943138,-0.14417516,-0.03309697,-0.7722535,-0.06414193,-0.020084003,-0.028752465,-0.018567175,0.048132464,-0.37813675,-0.076373465,-0.13286957,-0.02978994,-0.0022860123,0.70234925,0.20198242,1.6339803,-0.07293857,0.3060964,-0.041404814,-0.40376556,0.046037216,0.514036,0.035210226,0.54187256,-0.44749647,0.08812166
p10_p13_i3_i3_a0.5,1.9246306,-0.7869933,0.8084755,1.713855,-0.9559632,-0.042169794,-0.3303437,-0.05180564,-0.56731385,0.04098067,-0.0056749787,-0.020124588,-0.010207473,0.036939427,-0.2576399,-0.07446339,-0.57372785,-0.069249615,-0.01235236,0.39653003,-0.10149115,1.5114493,-0.07305842,0.4699487,-0.06770028,-0.8722073,0.19515301,0.41750678,0.030796885,-0.32135043,-0.4256751,0.113198295
p10_p13_i3_i3_a0.75,1.8617687,-0.945728,0.40691605,1.6964628,-0.5442951,-0.050339125,-0.4288365,-0.06589128,-0.5542646,0.24935424,-0.0045739077,-0.010027569,-0.009180696,0.04753323,-0.25945884,-0.054186426,-0.7863072,-0.087983645,-0.021224061,0.23451495,0.093850486,1.525989,-0.03254427,0.68859166,-0.08171778,-1.2011334,0.51874435,0.49622577,0.042520218,-0.7054177,-0.46467966,0.12082183
p10_p13_i4_i4_a0.25,0.6632035,0.32083642,-0.27846068,-0.30681357,-0.52728915,-0.0045760013,-0.040186636,-0.074115396,-0.35391635,0.23775332,-0.03779399,0.025715455,0.05379304,0.09763327,-0.9487234,0.0013190149,-0.35936084,-0.042818554,-0.009482637,0.5861532,0.12985213,-1.4343963,0.03216169,-1.1485138,-0.032538455,-0.38157076,1.1455026,0.7672566,0.021306742,-0.67704374,1.0924691,0.0015704371
p10_p13_i4_i4_a0.5,0.5786143,0.33686236,-0.47631636,-0.51630867,-0.07606643,0.0144196395,-0.12630406,0.009827098,0.043899328,0.012026681,-0.034125857,-0.007944039,0.011898141,0.058006223,-0.065734625,-0.021329332,-0.2838829,-0.054972988,-0.027861645,0.43813616,-0.12111831,-0.9745924,0.015484227,-1.1172041,-0.016787762,-0.8730414,0.92049134,0.84148765,0.054555975,0.16302295,1.3051988,-0.057388816
p10_p13_i4_i4_a0.75,0.31489646,0.45145154,-0.64514565,-0.56572133,-0.12043553,0.029413387,-0.34890538,-0.012316883,0.20349923,-0.04455867,-0.05076743,-0.052882977,0.028965194,0.085135266,0.31202948,-0.033405703,-0.12611005,-0.06861839,0.002075743,0.25760102,-0.26404184,-0.7289987,0.037596345,-1.147923,-0.0401075,-1.3286456,0.6672262,1.3176124,0.059780374,0.4507628,1.6238848,-0.03795943
p10_p13_i5_i5_a0.25,-1.0954322,-0.16884,-1.1520331,-0.3055923,0.9342405,-0.03997957,0.17992033,-0.015124234,-0.07779428,-0.38929853,-0.08429009,0.07423001,0.021385092,0.054686982,-0.81531364,-0.027031004,0.8809262,-0.04557327,0.049575903,0.7970529,-0.76410586,-0.85916907,0.103677675,0.13468574,0.024662964,-0.15289724,0.433862,-0.20302102,-0.009534394,0.22526318,0.57392555,0.030166537
p10_p13_i5_i5_a0.5,-0.48526233,-0.107316926,-0.905236,0.15961367,0.7278863,-0.060713194,0.5351444,-0.031781264,-0.28886592,-0.09055209,-0.055750236,0.052508242,-0.0055250293,0.05543386,-1.4353793,-0.07748927,0.67978823,-0.059378624,0.040973645,0.51208204,-0.8337535,0.19144139,0.08473734,0.17197815,-0.00680005,-0.6780497,0.3802035,-0.17171338,0.013724974,-0.20787461,0.39885437,0.041748803
p10_p13_i5_i5_a0.75,-0.17910984,-0.08824931,-0.78008866,0.261794,0.60577965,-0.0682816,0.53457963,-0.01802779,-0.29997772,-0.1379283,-0.022529379,0.035818506,-0.016995858,0.073703185,-1.5404664,-0.0788858,0.65338707,-0.07424857,0.03289104,0.31279737,-0.8693817,0.6707498,0.06834785,0.028180225,-0.011128737,-1.178284,0.2119573,0.017657965,0.048225895,-0.17630146,0.29766905,0.053997025
p10_p14_i1_i1_a0.25,1.0642413,-0.2647729,-0.2846702,-0.15458289,-1.3115699,0.013026254,-0.5988553,-0.11868881,-0.35997653,-0.25860617,-0.04895806,-0.042917855,0.029897116,0.052383803,-0.26201746,-0.07423677,-0.29047367,-0.07195829,-0.019045897,0.3279155,-0.110081166,-0.20855361,0.07253555,-0.5176689,-0.15456642,-1.4026321,2.2897651,0.8370029,0.09431505,-1.7824903,0.5997067,-0.020458985
p10_p14_i1_i1_a0.5,1.3330411,0.12342884,-0.13714889,0.21082208,-1.2831197,-0.0015838295,-0.4270101,-0.11936104,-0.35289478,-0.6996371,-0.067270145,-0.03238557,0.03163694,0.05937424,-0.6121857,-0.039914403,-0.21920875,-0.02286209,-0.009659899,0.44514173,0.0068746954,0.6913987,0.032022007,-0.67922074,-0.096808605,-1.0942624,2.0681121,0.8417308,0.10342269,-2.4752371,0.71456385,-0.0313195
p10_p14_i1_i1_a0.75,1.5834206,0.39167207,-0.48862463,0.5345546,-0.7295568,-0.015030621,-0.33854124,-0.08196747,-0.28890577,-0.69948375,-0.07761061,-0.005013993,0.052819617,0.058224414,-0.96551096,-0.013231966,-0.17731193,-0.032061066,-0.016479405,0.3434639,0.27255377,1.3298006,0.0013194531,-0.8932059,-0.014309517,-1.164812,1.6341656,0.6375526,0.12014207,-2.7053857,0.6191286,-0.0010090834
p10_p14_i2_i2_a0.25,0.50807214,-0.54712033,1.0364658,-0.5037619,0.20669541,-0.06297557,-0.07194137,0.0013201591,0.032292813,0.6711964,0.037880097,0.0060671885,-0.041186407,0.021020846,1.0549643,-0.057314936,-1.2013081,-0.10420336,0.014942858,0.28274047,-0.58782464,-0.73535246,-0.00008528493,0.11343153,-0.027350795,-1.3633304,-1.5762482,0.56739855,-0.05438667,0.37825978,0.3705483,0.08080461
p10_p14_i2_i2_a0.5,0.5148588,-0.4639513,1.0921911,-0.38444304,0.14665404,-0.049048863,-0.083067164,0.040392917,-0.06300762,1.2813232,0.06815403,-0.013523046,-0.023618538,0.06483813,0.8667217,-0.05525412,-1.0071174,-0.124296546,0.01452115,0.23525786,-0.8282773,-0.5287404,-0.018353345,-0.15611799,-0.032561984,-1.3090414,-2.01759,0.5040492,-0.051142532,1.5784333,0.5285458,0.10256641
p10_p14_i2_i2_a0.75,0.50156504,-0.2405131,1.237362,-0.30799276,0.23004338,-0.011632681,0.27866626,0.06849076,0.05087188,1.5410467,0.105724394,-0.014778349,0.0045353766,0.10759018,0.8038508,-0.050941683,-0.46174482,-0.09563279,0.044989385,0.2307607,-1.3213298,-0.25064334,-0.04272175,-0.7346012,-0.005891422,-1.1887385,-2.3183138,0.33590597,-0.037755184,2.6735866,0.722264,0.08575068
p10_p14_i3_i3_a0.25,1.6922796,0.37197298,-0.6040782,0.94978225,-1.0577911,-0.019003404,-0.35426322,-0.04292603,0.052970678,-0.09900099,-0.07168174,-0.0059443694,0.005636847,0.078193665,-0.29732397,-0.05984236,-0.6203095,-0.043139912,-0.01867683,0.6024267,-0.5035603,1.8937232,-0.07235008,-0.21432775,-0.009479303,-0.97566426,0.85439485,0.59321535,0.109748185,-0.064769104,-0.63441104,0.040803995
p10_p14_i3_i3_a0.5,1.7626616,-0.18724446,-0.13967901,1.6046968,-0.87920576,-0.015818322,-0.4147717,-0.07623911,0.18903103,-0.056825053,-0.048228312,-0.016472144,-0.013683313,0.052603394,-0.17510417,-0.07366983,-0.7685859,-0.095161535,-0.029103858,0.3888821,-0.3715471,1.7601466,-0.031109793,0.45376518,-0.054804653,-1.1415148,0.77488977,0.42025086,0.086113326,-0.5117604,-0.5987871,0.06268133
p10_p14_i3_i3_a0.75,1.7695479,-0.7869515,0.09680453,1.8194648,-0.5762893,-0.03734225,-0.44268167,-0.09960456,-0.16564909,0.13496841,-0.011893393,-0.003405963,-0.014576218,0.053166,-0.19611374,-0.05882289,-0.8110229,-0.10132774,-0.028261693,0.2431354,-0.079098314,1.6665196,-0.004716575,0.81068236,-0.091377184,-1.296405,0.6352429,0.47915193,0.059131995,-0.701507,-0.5754935,0.092175715
p10_p14_i4_i4_a0.25,0.81774175,-0.35300195,0.1557917,0.12908086,-0.19366366,0.0038842969,-0.2737595,-0.060611296,-0.40629238,0.9705152,-0.04658883,-0.091281176,-0.0013519134,0.03137669,0.43105215,-0.049532764,-0.7206861,-0.09034557,-0.018067675,0.36541545,-0.44353783,-2.022129,0.11032674,-0.9502156,-0.16083263,-1.3665302,0.5076959,1.034096,0.048351713,-0.66604793,1.1852411,-0.03379104
p10_p14_i4_i4_a0.5,0.63486964,-0.10809146,-0.045704253,-0.18854357,-0.105642065,0.026767086,-0.3950622,-0.060993627,0.010566264,0.56183934,-0.042429533,-0.10119002,-0.0074416995,0.046127018,0.36035103,-0.05038779,-0.52345896,-0.10111867,-0.0019836007,0.30637443,-0.39186943,-1.7536063,0.09436483,-0.97670394,-0.124880455,-1.4859017,0.45418504,1.3920178,0.049303524,-0.078832015,1.3973502,-0.036477823
p10_p14_i4_i4_a0.75,0.47400343,0.15203065,-0.40015006,-0.34933162,-0.048642047,0.04429838,-0.37318546,-0.025362628,0.34734485,0.25757846,-0.05261144,-0.07250082,0.0146084,0.071743354,0.3597406,-0.05442819,-0.29912356,-0.0983384,0.014766892,0.22183186,-0.27299425,-1.1713679,0.07184644,-1.0099558,-0.070288114,-1.5815699,0.45439526,1.544335,0.05785452,0.27373332,1.602643,-0.028566536
p10_p14_i5_i5_a0.25,-0.17129779,-0.8316671,-1.3564918,-0.18536639,-0.40641063,-0.008375108,-1.2711433,-0.181999,-0.36317644,-0.19684282,-0.06850285,0.034770504,0.06313036,0.09992434,-2.1584895,-0.016408224,0.27971947,-0.051220246,0.037727773,0.6126049,1.0571997,-0.3850916,0.09408122,0.09146469,-0.008692948,-0.9374052,1.223159,0.75058806,-0.01765429,-2.1932828,-0.245216,0.0644959
p10_p14_i5_i5_a0.5,0.029777959,-0.42206,-1.6231174,0.09430885,0.15202847,-0.06631663,-0.47063008,-0.111756444,-0.41035384,-0.03179397,-0.086355746,0.0454462,0.039969966,0.09759216,-2.2094514,-0.029199637,0.27498204,-0.031324595,0.026077073,0.50662345,0.42908368,0.13892512,0.11451081,0.21074098,-0.009356132,-0.96765083,1.1243818,0.31372097,0.024119232,-1.7824472,0.025919482,0.047569845
