dataset,model_type,size,measure,threshold,objective,LB,solution
IFEval_NOCHUNK,nemotron,large,correlation,p10,1.0,1,['id1265']
GPQA,gist,small,seuclidean,p95,31.0,31,"['id8', 'id17', 'id26', 'id52', 'id86', 'id98', 'id115', 'id122', 'id138', 'id153', 'id156', 'id170', 'id174', 'id196', 'id202', 'id204', 'id228', 'id250', 'id282', 'id286', 'id296', 'id299', 'id300', 'id329', 'id363', 'id371', 'id375', 'id376', 'id380', 'id427', 'id443']"
GPQA_NOCHUNK,qwen8b,large,seuclidean,p95,2.0,2,"['id122', 'id218']"
IFEval_CHUNKED,nemotron,large,correlation,p20,1.0,1,['id1051']
GPQA_NOCHUNK,nemotron,large,cosine,p20,1.0,1,['id0']
GPQA_NOCHUNK,qwen8b,large,cosine,p90,1.0,1,['id26']
Omni-MATH_NOCHUNK,qwen4b,large,cosine,p50,1.0,1,['id1085']
Omni-MATH_NOCHUNK,nemotron,large,correlation,p10,1.0,1,['id1002']
Omni-MATH,gist,small,correlation,p50,2.0,2,"['id2994', 'id3759']"
GPQA_CHUNKED,qwen4b,large,seuclidean,p90,2.0,2,"['id122', 'id201']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p10,1.0,1,['id1000']
GPQA,e5,small,correlation,p80,2.0,2,"['id257', 'id289']"
Omni-MATH_NOCHUNK,qwen8b,large,correlation,p80,1.0,1,['id3681']
GPQA_NOCHUNK,qwen4b,large,cosine,p10,1.0,1,['id118']
GPQA,bge,small,cosine,p50,2.0,2,"['id113', 'id444']"
Omni-MATH_CHUNKED,qwen4b,large,seuclidean,p80,1.0,1,['id3129']
Omni-MATH_NOCHUNK,qwen8b,large,correlation,p50,1.0,1,['id189']
MMLU-Pro,e5,small,cosine,p10,1.0,1,['id10472']
GPQA,gist,small,cosine,p95,38.0,38,"['id6', 'id8', 'id14', 'id26', 'id30', 'id52', 'id60', 'id86', 'id98', 'id122', 'id156', 'id170', 'id174', 'id196', 'id197', 'id202', 'id204', 'id214', 'id216', 'id228', 'id230', 'id234', 'id280', 'id282', 'id286', 'id296', 'id299', 'id329', 'id352', 'id371', 'id375', 'id380', 'id385', 'id422', 'id427', 'id436', 'id443', 'id444']"
IFEval,gist,small,seuclidean,p10,1.0,1,['id136']
Omni-MATH,gist,small,correlation,p90,9.0,9,"['id651', 'id142', 'id900', 'id3214', 'id3409', 'id1399', 'id527', 'id2031', 'id1596']"
Omni-MATH,bge,small,seuclidean,p95,4.0,4,"['id1002', 'id541', 'id1069', 'id4346']"
IFEval_CHUNKED,nemotron,large,seuclidean,p80,1.0,1,['id2311']
IFEval,gist,small,seuclidean,p95,6.0,6,"['id1738', 'id2311', 'id2685', 'id2825', 'id2859', 'id3407']"
MMLU-Pro,bge,small,cosine,p90,7.0,7,"['id1626', 'id11723', 'id3143', 'id1326', 'id1773', 'id12189', 'id4721']"
IFEval_CHUNKED,qwen8b,large,correlation,p10,1.0,1,['id1000']
GPQA,bge,small,correlation,p50,2.0,2,"['id113', 'id444']"
Omni-MATH,gist,small,seuclidean,p10,1.0,1,['id3608']
Omni-MATH_CHUNKED,qwen8b,large,seuclidean,p90,1.0,1,['id3681']
GPQA_NOCHUNK,qwen4b,large,cosine,p90,2.0,2,"['id0', 'id26']"
Omni-MATH_NOCHUNK,qwen4b,large,seuclidean,p10,1.0,1,['id104']
GPQA,bge,small,seuclidean,p20,1.0,1,['id214']
MMLU-Pro_NOCHUNK,qwen4b,large,cosine,p20,1.0,1,['id10615']
IFEval_NOCHUNK,qwen8b,large,cosine,p50,1.0,1,['id1108']
Omni-MATH,gist,small,correlation,p20,2.0,2,"['id1', 'id3477']"
MMLU-Pro,gist,small,correlation,p10,2.0,2,"['id10050', 'id3058']"
GPQA,e5,small,correlation,p20,1.0,1,['id430']
IFEval,bge,small,cosine,p80,2.0,2,"['id1592', 'id2859']"
GPQA,e5,small,seuclidean,p20,1.0,1,['id425']
MMLU-Pro,gist,small,seuclidean,p90,17.0,17,"['id11100', 'id9648', 'id3412', 'id1846', 'id1626', 'id10676', 'id12235', 'id10075', 'id2472', 'id2407', 'id3143', 'id6708', 'id5967', 'id5514', 'id9961', 'id5292', 'id4353']"
MMLU-Pro_NOCHUNK,nemotron,large,correlation,p10,1.0,1,['id1009']
MMLU-Pro,gist,small,seuclidean,p10,2.0,2,"['id10008', 'id3058']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p20,1.0,1,['id1108']
Omni-MATH_CHUNKED,qwen4b,large,correlation,p10,1.0,1,['id1085']
IFEval_CHUNKED,nemotron,large,correlation,p90,2.0,2,"['id1001', 'id219']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p90,1.0,1,['id1999']
MMLU-Pro,bge,small,seuclidean,p90,7.0,7,"['id3412', 'id3143', 'id1647', 'id1326', 'id1773', 'id12189', 'id4721']"
Omni-MATH_CHUNKED,qwen8b,large,correlation,p20,1.0,1,['id1085']
GPQA_CHUNKED,qwen4b,large,cosine,p90,2.0,2,"['id0', 'id344']"
IFEval_CHUNKED,qwen4b,large,cosine,p95,1.0,1,['id2245']
MMLU-Pro_NOCHUNK,qwen4b,large,cosine,p80,2.0,2,"['id4096', 'id10615']"
IFEval_NOCHUNK,nemotron,large,cosine,p90,6.0,6,"['id1592', 'id1999', 'id2649', 'id3386', 'id3407', 'id3690']"
IFEval_NOCHUNK,qwen8b,large,cosine,p80,1.0,1,['id1108']
Omni-MATH_NOCHUNK,qwen4b,large,cosine,p95,2.0,2,"['id189', 'id1144']"
GPQA,gist,small,seuclidean,p10,1.0,1,['id170']
Omni-MATH,bge,small,seuclidean,p80,2.0,2,"['id1069', 'id4346']"
GPQA,bge,small,correlation,p90,10.0,10,"['id30', 'id40', 'id55', 'id228', 'id268', 'id286', 'id289', 'id371', 'id433', 'id444']"
Omni-MATH,e5,small,seuclidean,p90,3.0,3,"['id1085', 'id1009', 'id4020']"
MMLU-Pro_NOCHUNK,qwen8b,large,seuclidean,p50,1.0,1,['id10517']
Omni-MATH_NOCHUNK,nemotron,large,seuclidean,p10,1.0,1,['id1002']
GPQA_CHUNKED,nemotron,large,cosine,p95,1.0,1,['id359']
IFEval,e5,small,seuclidean,p50,1.0,1,['id2859']
Omni-MATH,bge,small,cosine,p90,3.0,3,"['id541', 'id1376', 'id4346']"
IFEval,bge,small,seuclidean,p90,3.0,3,"['id1592', 'id2859', 'id3563']"
IFEval_NOCHUNK,qwen4b,large,seuclidean,p50,1.0,1,['id1108']
MMLU-Pro_NOCHUNK,qwen4b,large,seuclidean,p90,2.0,2,"['id10094', 'id11191']"
IFEval_CHUNKED,qwen4b,large,cosine,p10,1.0,1,['id1000']
GPQA_CHUNKED,qwen4b,large,seuclidean,p50,1.0,1,['id201']
MMLU-Pro,bge,small,seuclidean,p50,2.0,2,"['id10050', 'id5052']"
GPQA_CHUNKED,qwen4b,large,correlation,p10,1.0,1,['id118']
GPQA_NOCHUNK,qwen4b,large,seuclidean,p20,1.0,1,['id118']
GPQA_CHUNKED,qwen4b,large,cosine,p95,2.0,2,"['id101', 'id344']"
GPQA_CHUNKED,qwen4b,large,correlation,p95,2.0,2,"['id101', 'id344']"
GPQA_CHUNKED,qwen4b,large,cosine,p10,1.0,1,['id118']
Omni-MATH,e5,small,cosine,p80,2.0,2,"['id1085', 'id1376']"
GPQA,e5,small,correlation,p90,6.0,6,"['id17', 'id50', 'id106', 'id229', 'id289', 'id352']"
GPQA_CHUNKED,nemotron,large,cosine,p80,1.0,1,['id359']
IFEval_NOCHUNK,nemotron,large,seuclidean,p80,2.0,2,"['id102', 'id1592']"
MMLU-Pro,e5,small,correlation,p80,2.0,2,"['id3143', 'id889']"
IFEval_NOCHUNK,qwen8b,large,correlation,p95,1.0,1,['id1999']
MMLU-Pro,bge,small,cosine,p80,3.0,3,"['id3412', 'id3143', 'id1557']"
Omni-MATH_CHUNKED,qwen4b,large,correlation,p95,7.0,7,"['id154', 'id599', 'id189', 'id2574', 'id1144', 'id3342', 'id2034']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p50,1.0,1,['id1108']
GPQA_CHUNKED,nemotron,large,seuclidean,p80,1.0,1,['id359']
IFEval_NOCHUNK,nemotron,large,cosine,p10,1.0,1,['id1265']
GPQA_CHUNKED,qwen4b,large,seuclidean,p10,1.0,1,['id118']
MMLU-Pro_NOCHUNK,qwen4b,large,correlation,p20,1.0,1,['id10615']
IFEval_CHUNKED,qwen4b,large,correlation,p90,1.0,1,['id2245']
Omni-MATH_CHUNKED,qwen4b,large,seuclidean,p50,1.0,1,['id1104']
IFEval_NOCHUNK,qwen4b,large,correlation,p90,1.0,1,['id1999']
GPQA,gist,small,correlation,p50,2.0,2,"['id280', 'id427']"
Omni-MATH_NOCHUNK,qwen8b,large,cosine,p80,1.0,1,['id3681']
GPQA_NOCHUNK,nemotron,large,seuclidean,p50,1.0,1,['id0']
IFEval,e5,small,seuclidean,p90,2.0,2,"['id2243', 'id3563']"
MMLU-Pro,gist,small,cosine,p80,5.0,5,"['id3412', 'id3143', 'id5508', 'id9961', 'id1557']"
IFEval_CHUNKED,qwen8b,large,cosine,p90,1.0,1,['id1108']
Omni-MATH_NOCHUNK,qwen4b,large,cosine,p90,2.0,2,"['id154', 'id1095']"
MMLU-Pro_NOCHUNK,qwen8b,large,correlation,p95,2.0,2,"['id3833', 'id1734']"
GPQA,gist,small,correlation,p80,4.0,4,"['id86', 'id170', 'id282', 'id427']"
Omni-MATH_CHUNKED,qwen8b,large,correlation,p90,1.0,1,['id3681']
MMLU-Pro,e5,small,correlation,p10,1.0,1,['id10472']
GPQA_CHUNKED,nemotron,large,seuclidean,p10,1.0,1,['id100']
GPQA,e5,small,correlation,p10,1.0,1,['id214']
IFEval_NOCHUNK,qwen4b,large,correlation,p95,1.0,1,['id2245']
IFEval,gist,small,seuclidean,p50,1.0,1,['id2859']
IFEval_NOCHUNK,nemotron,large,cosine,p80,3.0,3,"['id102', 'id1592', 'id3223']"
MMLU-Pro,bge,small,cosine,p50,2.0,2,"['id10008', 'id5052']"
MMLU-Pro_NOCHUNK,qwen8b,large,cosine,p50,1.0,1,['id10615']
IFEval_CHUNKED,nemotron,large,seuclidean,p95,14.0,14,"['id1129', 'id1174', 'id1187', 'id1286', 'id1644', 'id1954', 'id2311', 'id2337', 'id2739', 'id3126', 'id3224', 'id343', 'id3633', 'id3743']"
IFEval_CHUNKED,qwen8b,large,correlation,p50,1.0,1,['id1108']
Omni-MATH,bge,small,cosine,p95,5.0,5,"['id541', 'id1185', 'id2552', 'id4346', 'id2843']"
IFEval_CHUNKED,nemotron,large,cosine,p90,2.0,2,"['id1001', 'id219']"
IFEval_NOCHUNK,nemotron,large,seuclidean,p95,13.0,13,"['id1392', 'id1592', 'id1999', 'id2169', 'id2457', 'id2617', 'id2649', 'id2817', 'id2871', 'id3223', 'id3323', 'id3386', 'id3407']"
IFEval_NOCHUNK,nemotron,large,seuclidean,p90,5.0,5,"['id1592', 'id1999', 'id2617', 'id3386', 'id3690']"
GPQA_CHUNKED,qwen4b,large,cosine,p50,2.0,2,"['id112', 'id201']"
Omni-MATH_CHUNKED,qwen8b,large,cosine,p50,1.0,1,['id2975']
IFEval_CHUNKED,nemotron,large,seuclidean,p50,1.0,1,['id1092']
MMLU-Pro_NOCHUNK,qwen4b,large,seuclidean,p20,1.0,1,['id10094']
IFEval_NOCHUNK,qwen4b,large,correlation,p10,1.0,1,['id1000']
IFEval,e5,small,cosine,p90,2.0,2,"['id1377', 'id3563']"
IFEval_NOCHUNK,nemotron,large,correlation,p90,6.0,6,"['id1592', 'id1999', 'id2436', 'id2649', 'id3386', 'id3690']"
MMLU-Pro_NOCHUNK,qwen8b,large,correlation,p50,1.0,1,['id10615']
Omni-MATH,e5,small,cosine,p20,1.0,1,['id124']
IFEval_NOCHUNK,qwen4b,large,correlation,p80,1.0,1,['id1999']
MMLU-Pro_NOCHUNK,qwen8b,large,correlation,p80,2.0,2,"['id4096', 'id10615']"
GPQA_CHUNKED,qwen8b,large,correlation,p80,1.0,1,['id26']
Omni-MATH_NOCHUNK,qwen4b,large,correlation,p20,1.0,1,['id1085']
Omni-MATH_CHUNKED,qwen4b,large,cosine,p95,7.0,7,"['id154', 'id599', 'id189', 'id2574', 'id1144', 'id3342', 'id2034']"
GPQA_CHUNKED,qwen8b,large,correlation,p10,1.0,1,['id122']
MMLU-Pro,gist,small,cosine,p10,2.0,2,"['id10050', 'id3058']"
GPQA_CHUNKED,nemotron,large,cosine,p10,1.0,1,['id100']
MMLU-Pro,gist,small,correlation,p95,52.0,52,"['id8603', 'id2705', 'id7789', 'id11100', 'id3412', 'id10185', 'id1180', 'id6783', 'id2348', 'id10355', 'id10839', 'id2268', 'id10704', 'id2935', 'id2802', 'id12235', 'id3222', 'id3450', 'id7212', 'id9116', 'id4762', 'id10094', 'id9034', 'id2472', 'id6872', 'id7215', 'id5531', 'id2407', 'id3143', 'id4143', 'id8637', 'id11934', 'id6412', 'id6917', 'id4761', 'id9640', 'id2467', 'id5508', 'id3476', 'id9267', 'id5514', 'id310', 'id3058', 'id9961', 'id3656', 'id4353', 'id7374', 'id3820', 'id1558', 'id9435', 'id6143', 'id4721']"
Omni-MATH_CHUNKED,nemotron,large,correlation,p95,16.0,16,"['id582', 'id2436', 'id949', 'id487', 'id2087', 'id526', 'id4359', 'id1248', 'id3022', 'id2211', 'id1277', 'id405', 'id2829', 'id1001', 'id1303', 'id3452']"
Omni-MATH_CHUNKED,qwen4b,large,cosine,p20,1.0,1,['id1085']
GPQA_NOCHUNK,qwen4b,large,seuclidean,p50,1.0,1,['id201']
GPQA,e5,small,cosine,p95,24.0,24,"['id17', 'id30', 'id50', 'id64', 'id70', 'id106', 'id145', 'id160', 'id229', 'id234', 'id235', 'id244', 'id257', 'id289', 'id295', 'id341', 'id352', 'id366', 'id408', 'id418', 'id424', 'id425', 'id430', 'id445']"
IFEval_NOCHUNK,nemotron,large,seuclidean,p20,1.0,1,['id1592']
Omni-MATH_CHUNKED,qwen4b,large,cosine,p90,2.0,2,"['id154', 'id1095']"
MMLU-Pro,e5,small,seuclidean,p10,1.0,1,['id10472']
IFEval_NOCHUNK,qwen8b,large,cosine,p20,1.0,1,['id1000']
GPQA_CHUNKED,qwen8b,large,cosine,p95,2.0,2,"['id0', 'id344']"
GPQA,bge,small,correlation,p80,3.0,3,"['id52', 'id127', 'id286']"
GPQA_CHUNKED,nemotron,large,correlation,p50,1.0,1,['id244']
MMLU-Pro_NOCHUNK,nemotron,large,seuclidean,p80,1.0,1,['id4801']
IFEval_CHUNKED,qwen4b,large,correlation,p95,1.0,1,['id2245']
IFEval,gist,small,seuclidean,p90,3.0,3,"['id2311', 'id2685', 'id2859']"
IFEval,e5,small,cosine,p50,1.0,1,['id2859']
GPQA,e5,small,cosine,p80,2.0,2,"['id257', 'id289']"
Omni-MATH_CHUNKED,qwen4b,large,seuclidean,p10,1.0,1,['id104']
Omni-MATH,e5,small,seuclidean,p50,2.0,2,"['id1002', 'id4133']"
Omni-MATH,bge,small,correlation,p90,3.0,3,"['id541', 'id1376', 'id4346']"
MMLU-Pro_NOCHUNK,qwen8b,large,cosine,p10,1.0,1,['id10094']
GPQA,gist,small,correlation,p90,14.0,14,"['id17', 'id26', 'id30', 'id33', 'id52', 'id86', 'id156', 'id182', 'id202', 'id204', 'id280', 'id286', 'id380', 'id427']"
IFEval_NOCHUNK,qwen4b,large,cosine,p10,1.0,1,['id1000']
MMLU-Pro,e5,small,cosine,p90,3.0,3,"['id11680', 'id889', 'id11874']"
GPQA_CHUNKED,nemotron,large,seuclidean,p90,1.0,1,['id359']
Omni-MATH,gist,small,cosine,p90,9.0,9,"['id651', 'id142', 'id900', 'id3214', 'id3409', 'id1399', 'id527', 'id2031', 'id1596']"
IFEval,bge,small,correlation,p90,3.0,3,"['id1592', 'id2859', 'id3563']"
Omni-MATH,e5,small,seuclidean,p80,2.0,2,"['id1172', 'id1085']"
IFEval,e5,small,correlation,p10,1.0,1,['id1203']
IFEval_NOCHUNK,qwen8b,large,seuclidean,p50,1.0,1,['id1107']
Omni-MATH,bge,small,seuclidean,p20,1.0,1,['id2480']
GPQA,gist,small,seuclidean,p20,2.0,2,"['id1', 'id215']"
Omni-MATH_CHUNKED,qwen8b,large,cosine,p20,1.0,1,['id1085']
GPQA_CHUNKED,qwen8b,large,seuclidean,p20,1.0,1,['id103']
IFEval,gist,small,correlation,p90,3.0,3,"['id1332', 'id2311', 'id2859']"
Omni-MATH_CHUNKED,qwen8b,large,seuclidean,p95,1.0,1,['id3681']
MMLU-Pro_NOCHUNK,qwen8b,large,seuclidean,p80,1.0,1,['id4357']
MMLU-Pro,e5,small,correlation,p90,3.0,3,"['id11680', 'id889', 'id11874']"
Omni-MATH_NOCHUNK,nemotron,large,cosine,p80,1.0,1,['id134']
IFEval,bge,small,correlation,p10,1.0,1,['id1592']
IFEval_CHUNKED,qwen8b,large,cosine,p10,1.0,1,['id1000']
GPQA_NOCHUNK,qwen8b,large,cosine,p95,1.0,1,['id344']
MMLU-Pro_NOCHUNK,qwen4b,large,cosine,p90,2.0,2,"['id5045', 'id10094']"
IFEval_CHUNKED,nemotron,large,seuclidean,p90,2.0,2,"['id1012', 'id219']"
MMLU-Pro_NOCHUNK,nemotron,large,correlation,p90,1.0,1,['id4896']
GPQA_CHUNKED,qwen8b,large,correlation,p50,1.0,1,['id201']
MMLU-Pro_NOCHUNK,nemotron,large,seuclidean,p20,1.0,1,['id1032']
Omni-MATH_CHUNKED,nemotron,large,correlation,p20,1.0,1,['id1005']
IFEval_CHUNKED,qwen4b,large,cosine,p80,1.0,1,['id1999']
Omni-MATH_CHUNKED,nemotron,large,cosine,p95,16.0,16,"['id582', 'id2436', 'id949', 'id487', 'id2087', 'id526', 'id4359', 'id1248', 'id3022', 'id2211', 'id1277', 'id405', 'id2829', 'id1001', 'id1303', 'id3452']"
Omni-MATH_CHUNKED,qwen8b,large,correlation,p95,2.0,2,"['id154', 'id2975']"
Omni-MATH_NOCHUNK,nemotron,large,seuclidean,p50,1.0,1,['id1095']
Omni-MATH_CHUNKED,qwen4b,large,correlation,p20,1.0,1,['id1085']
IFEval_CHUNKED,nemotron,large,seuclidean,p20,1.0,1,['id1051']
IFEval_CHUNKED,qwen8b,large,seuclidean,p50,1.0,1,['id1107']
Omni-MATH_NOCHUNK,qwen4b,large,cosine,p10,1.0,1,['id1085']
Omni-MATH_CHUNKED,qwen8b,large,seuclidean,p20,1.0,1,['id1084']
IFEval_NOCHUNK,qwen4b,large,correlation,p50,1.0,1,['id1108']
GPQA_NOCHUNK,qwen8b,large,correlation,p80,1.0,1,['id26']
IFEval_NOCHUNK,nemotron,large,correlation,p50,2.0,2,"['id1000', 'id1592']"
Omni-MATH,e5,small,correlation,p50,2.0,2,"['id1009', 'id3515']"
GPQA_NOCHUNK,qwen8b,large,seuclidean,p20,1.0,1,['id103']
MMLU-Pro,gist,small,seuclidean,p50,2.0,2,"['id3143', 'id7196']"
IFEval_CHUNKED,qwen4b,large,seuclidean,p80,1.0,1,['id1108']
Omni-MATH_NOCHUNK,qwen8b,large,cosine,p90,1.0,1,['id3681']
Omni-MATH_NOCHUNK,qwen8b,large,seuclidean,p50,1.0,1,['id1144']
IFEval,e5,small,seuclidean,p20,1.0,1,['id1999']
GPQA_NOCHUNK,qwen8b,large,seuclidean,p90,1.0,1,['id201']
MMLU-Pro_NOCHUNK,nemotron,large,seuclidean,p90,1.0,1,['id4896']
GPQA_NOCHUNK,qwen8b,large,correlation,p90,1.0,1,['id26']
GPQA,bge,small,cosine,p90,10.0,10,"['id30', 'id40', 'id55', 'id228', 'id268', 'id286', 'id289', 'id371', 'id433', 'id444']"
GPQA_CHUNKED,qwen4b,large,seuclidean,p80,2.0,2,"['id122', 'id177']"
IFEval,bge,small,correlation,p50,1.0,1,['id2859']
IFEval_CHUNKED,qwen8b,large,cosine,p50,1.0,1,['id1108']
IFEval,e5,small,correlation,p50,1.0,1,['id2859']
Omni-MATH_CHUNKED,nemotron,large,seuclidean,p20,1.0,1,['id1005']
IFEval,e5,small,cosine,p10,1.0,1,['id1203']
Omni-MATH_CHUNKED,qwen4b,large,cosine,p50,1.0,1,['id1085']
IFEval,e5,small,cosine,p80,2.0,2,"['id1051', 'id3563']"
MMLU-Pro_NOCHUNK,qwen4b,large,correlation,p95,40.0,40,"['id9579', 'id8845', 'id9373', 'id7314', 'id4557', 'id4096', 'id11756', 'id10220', 'id12007', 'id9305', 'id7371', 'id9019', 'id9343', 'id8648', 'id9698', 'id9570', 'id4289', 'id10094', 'id10324', 'id3973', 'id3926', 'id9860', 'id7747', 'id10314', 'id7855', 'id5047', 'id10263', 'id7655', 'id5508', 'id10744', 'id9346', 'id11771', 'id4023', 'id2826', 'id9299', 'id9132', 'id7374', 'id10216', 'id10087', 'id7788']"
IFEval_CHUNKED,qwen8b,large,cosine,p95,1.0,1,['id1999']
Omni-MATH,e5,small,correlation,p80,2.0,2,"['id1085', 'id1376']"
Omni-MATH_CHUNKED,nemotron,large,cosine,p80,2.0,2,"['id1277', 'id2829']"
MMLU-Pro_NOCHUNK,nemotron,large,correlation,p20,1.0,1,['id1032']
Omni-MATH_CHUNKED,qwen4b,large,correlation,p50,1.0,1,['id1085']
GPQA_NOCHUNK,nemotron,large,cosine,p95,21.0,21,"['id0', 'id14', 'id41', 'id83', 'id97', 'id114', 'id196', 'id219', 'id251', 'id257', 'id278', 'id290', 'id300', 'id308', 'id320', 'id324', 'id399', 'id403', 'id413', 'id426', 'id436']"
IFEval_CHUNKED,qwen8b,large,seuclidean,p10,1.0,1,['id1000']
GPQA_NOCHUNK,qwen8b,large,cosine,p10,1.0,1,['id122']
GPQA_NOCHUNK,nemotron,large,correlation,p80,2.0,2,"['id0', 'id320']"
Omni-MATH,bge,small,correlation,p95,5.0,5,"['id541', 'id1185', 'id2552', 'id4346', 'id2843']"
Omni-MATH_CHUNKED,qwen4b,large,seuclidean,p90,2.0,2,"['id154', 'id1']"
IFEval,gist,small,cosine,p10,1.0,1,['id136']
IFEval_NOCHUNK,qwen8b,large,correlation,p20,1.0,1,['id1000']
MMLU-Pro_NOCHUNK,qwen8b,large,cosine,p80,2.0,2,"['id4096', 'id10615']"
GPQA_CHUNKED,qwen8b,large,seuclidean,p50,1.0,1,['id177']
MMLU-Pro_NOCHUNK,nemotron,large,correlation,p80,1.0,1,['id4801']
