dataset,model_type,size,seed,measure,threshold,objective,solution
IFEval_NOCHUNK,qwen4b,large,10,euclidean,p20,1,[19]
GPQA_CHUNKED,qwen4b,large,30,cosine,p50,2,"[201, 301]"
MMLU-Pro,bge,small,40,correlation,p10,1,[22]
GPQA,bge,small,40,cosine,p50,2,"[1, 443]"
IFEval_NOCHUNK,nemotron,large,40,cosine,p10,1,[53]
GPQA_CHUNKED,qwen8b,large,50,euclidean,p80,1,[27]
MMLU-Pro,gist,small,50,cosine,p80,5,"[140, 709, 799, 602, 830]"
IFEval_NOCHUNK,nemotron,large,40,cosine,p20,1,[109]
GPQA_NOCHUNK,nemotron,large,50,correlation,p20,1,[1]
Omni-MATH_NOCHUNK,qwen4b,large,40,euclidean,p50,1,[71]
MMLU-Pro,gist,small,10,correlation,p95,52,"[602, 140, 506, 545, 709, 996, 798, 799, 651, 1, 274, 841, 458, 745, 900, 730, 342, 334, 643, 907, 927, 874, 492, 194, 464, 702, 667, 756, 670, 893, 660, 588, 655, 216, 433, 603, 401, 109, 375, 40, 43, 279, 564, 288, 966, 486, 254, 521, 346, 211, 423, 981]"
IFEval,bge,small,40,euclidean,p90,3,"[109, 359, 494]"
Omni-MATH_CHUNKED,qwen8b,large,10,correlation,p50,1,[59]
GPQA,gist,small,10,euclidean,p10,1,[44]
GPQA,e5,small,10,euclidean,p90,6,"[51, 351, 429, 229, 18, 429]"
Omni-MATH,bge,small,10,cosine,p10,1,[19]
MMLU-Pro,qwen8b,large,50,euclidean,p10,1,[4]
IFEval_NOCHUNK,nemotron,large,50,correlation,p80,3,"[6, 109, 312]"
GPQA_CHUNKED,qwen4b,large,30,euclidean,p50,1,[85]
MMLU-Pro,qwen8b,large,40,euclidean,p50,1,[56]
IFEval,gist,small,50,euclidean,p10,1,[69]
IFEval_CHUNKED,nemotron,large,40,euclidean,p80,1,[245]
IFEval,e5,small,10,euclidean,p95,2,"[494, 359]"
GPQA,bge,small,20,euclidean,p50,2,"[1, 443]"
GPQA,gist,small,50,cosine,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
